"","date","city","state","Description","Event.Type_desc","Reg.num","Flight.num","Craft.Opperator","Craft.Make","Craft.Model","Craft.Damage","Flight.Activitiy","Flight.Phase","Injury.Max.Level","Fatal","lon","lat","Injury.Type","Injury.Count"
"221",2016-02-01 20:30:00,"Centralia","Illinois","N41852 Experimental Condor Rotorcraft, Crashed Off The Airport, The 1 Person On Board Was Fatally Injured, Near Centralia, Il","Accident","N41852",NA,NA,NA,NA,"Destroyed",NA,"Unknown (Unk)","Fatal","Yes",-89.1316944,38.5285169,"Flight Crew FATAL",1
"222",2016-02-02 01:52:00,"Mobile","Alabama","N784cp Aircraft Crashed Into A Wooded Area Near The Airport, The 2 Persons On  Board Were Fatally Injured, Mobile, Al Update Registration N784cp,","Accident","N784CP",NA,NA,"CESSNA","182","Unknown",NA,"Unknown (Unk)","Fatal","Yes",-88.0398912,30.6953657,"Flight Crew FATAL",2
"232",2016-01-30 19:45:00,"Alabany","Georgia","Aircraft On Takeoff Went Off The Side Of The Runway And Caught Fire, The 3 Persons On Board Were Fatally Injured, Albany, Ga","Accident","N401PT",NA,NA,"LANCAIR","IV","Destroyed",NA,"Takeoff (Tof)","Fatal","Yes",-84.155741,31.5785074,"Flight Crew FATAL",1
"235",2016-01-29 02:58:00,"Santa Rosa","California","Aircraft Crashed Under Unknown Circumstances.  Santa Rosa, Ca","Accident","N9362P",NA,NA,"PIPER","PA24","Substantial",NA,"Unknown (Unk)","Fatal","Yes",-122.7140548,38.440429,"Flight Crew FATAL",1
"555",2016-02-06 14:17:00,"El Paso","Texas","Southwest Airlines Flight Swa3817 Boeing 737 Aircraft, Registration Not Reported,  Encountered Turbulence And 1 Flight Attendant Sustained Unknown Injuries And Transported To The Hospital, Diverted And Landed Without Incident, El Paso, Tx","Incident","SWA3817","SWA3817","Swa-Southwest Airlines","BOEING","737",NA,"Commercial",NA,"Unknown","No",-106.4850217,31.7618778,"Cabin Crew UNK",1
"597",2016-02-09 21:11:00,"Pembroke Pines","Florida","Hk4699g Columbia Registration, Piper Pa34 Aircraft, On Landing Gear Collapsed, Pembroke Pines, Hollywood,  Fl","Incident","HK4699G",NA,NA,"PIPER","PA34","None",NA,"Landing (Ldg)","None","No",-80.2962555,26.007765,"Passanger NONE",1
"602",2016-02-08 18:58:00,"Gold Beach","Oregon","Aircraft On Landing Went Off The Runway Into A Fence, And Flipped,  Gold Beach, Or","Accident","N6951E",NA,NA,"CESSNA","175","Substantial",NA,"Landing (Ldg)","Minor","No",-124.421774,42.4073334,"Passanger NONE",1
"606",2016-02-06 21:45:00,"Defiance","Ohio","Aircraft On Landing, Gear Collapsed, Defiance, Oh","Incident","N252BH",NA,NA,"MOONEY","M20K","Minor",NA,"Landing (Ldg)","None","No",-84.3557802,41.2844933,"Passanger NONE",2
"627",2016-02-02 00:50:00,"Crescent City","California","Aircraft Landed Gear Up, Del Norte County Airport, Crescent City, Ca","Incident","N28CA",NA,NA,"PIPER","PA31T","Unknown",NA,"Landing (Ldg)","None","No",-124.2025913,41.7557501,"Passanger NONE",1
"630",2016-02-02 22:19:00,"Ogden","Utah","Aircraft On Landing In A Field Flipped Over, Near Ogden, Ut","Accident","N8340Z",NA,NA,"CESSNA","210","Substantial",NA,"Landing (Ldg)","None","No",-111.9738304,41.223,"Passanger NONE",1
"641",2016-01-29 17:37:00,"Scottsdale","Arizona","Aircraft On Taxi, Went Off The Taxiway And Struck The Propeller,  Scottsdale, Az","Incident","N888JS",NA,NA,"CESSNA","425","Minor",NA,"Taxi (Txi)","None","No",-111.9260519,33.4941704,"Passanger NONE",2
"643",2016-01-30 16:00:00,"Beaumont","Texas","N503ds Guimbal Cabri G2 Rotorcraft , While Hovering On Taxiway, Crashed, Beaumont, Tx","Accident","N503DS",NA,NA,"GUIMBAL","CABRI G2","Substantial",NA,"Maneuvering (Mnv)","None","No",-94.1265562,30.080174,"Passanger NONE",1
"647",2016-01-28 19:30:00,"Sussex","New Jersey","After Landing The Aircraft Veered Off The Runway And Flipped Over. Sussex, Nj","Accident","N64251",NA,NA,"CESSNA","180","Substantial",NA,"Landing (Ldg)","None","No",-74.6076614,41.2098177,"Passanger NONE",1
"822",2016-01-30 19:45:00,"Alabany","Georgia","Aircraft On Takeoff Went Off The Side Of The Runway And Caught Fire, The 3 Persons On Board Were Fatally Injured, Albany, Ga","Accident","N401PT",NA,NA,"LANCAIR","IV","Destroyed",NA,"Takeoff (Tof)","Fatal","Yes",-84.155741,31.5785074,"Passanger FATAL",2
"825",2016-01-29 02:58:00,"Santa Rosa","California","Aircraft Crashed Under Unknown Circumstances.  Santa Rosa, Ca","Accident","N9362P",NA,NA,"PIPER","PA24","Substantial",NA,"Unknown (Unk)","Fatal","Yes",-122.7140548,38.440429,"Passanger FATAL",1
